Node          U1          U2          U3
186 0.0010246 -0.00356294 -6.50859e-05
187 0.00136184 -0.0045924 -6.89366e-05
188 0.00165145 -0.00577495 -6.52579e-05
189 0.00190746 -0.00707655 -5.7525e-05
190 0.00212436 -0.00849684 -4.82942e-05
191 0.00230201 -0.0100159 -3.88483e-05
192 0.00243549 -0.0116156 -2.99979e-05
193 0.00252012 -0.0132686 -2.27612e-05
194 0.00255696 -0.0149374 -1.83418e-05
195 0.00102359 -0.00357601 -5.79091e-17
196 0.00135963 -0.00460659 -6.85995e-17
197 0.00164882 -0.00578912 -7.99242e-17
198 0.00190445 -0.00708964 -9.16388e-17
199 0.00212122 -0.00850808 -1.08944e-16
200 0.00229856 -0.0100251 -1.18519e-16
201 0.00243188 -0.0116224 -1.29443e-16
202 0.00251659 -0.0132732 -1.46969e-16
203 0.00255385 -0.0149402 -1.60816e-16
204 0.0010246 -0.00356294 6.50859e-05
205 0.00136184 -0.0045924 6.89366e-05
206 0.00165145 -0.00577495 6.52579e-05
207 0.00190746 -0.00707655 5.7525e-05
208 0.00212436 -0.00849684 4.82942e-05
209 0.00230201 -0.0100159 3.88483e-05
210 0.00243549 -0.0116156 2.99979e-05
211 0.00252012 -0.0132686 2.27612e-05
212 0.00255696 -0.0149374 1.83418e-05
213 0.00102852 -0.00352201 0.000139231
214 0.00136787 -0.00454697 0.000143979
215 0.00165883 -0.00573034 0.000133574
216 0.00191449 -0.00703643 0.000116724
217 0.00213214 -0.00846217 9.8012e-05
218 0.00231077 -0.00998796 7.85473e-05
219 0.002445 -0.0115949 6.01267e-05
220 0.00252913 -0.0132546 4.50734e-05
221 0.00256481 -0.0149281 3.57572e-05
222 0.00103703 -0.00343861 0.000227722
223 0.00137744 -0.00446244 0.000224559
224 0.00166407 -0.00565163 0.000202725
225 0.00191968 -0.00696534 0.000177571
226 0.00213812 -0.00840155 0.000148661
227 0.00231866 -0.00993933 0.000119085
228 0.0024548 -0.0115594 9.02462e-05
229 0.00253952 -0.0132317 6.51583e-05
230 0.00257316 -0.0149149 4.84964e-05
