Node          U1          U2          U3
273 -0.00445035 -0.0132608 -1.06266e-05
274 -0.00457721 -0.015164 -2.50652e-06
275 -0.00469865 -0.017111 3.85793e-06
276 -0.00281792 -0.00406767 -6.47095e-05
277 -0.00319753 -0.00520207 -6.29839e-05
278 -0.00354147 -0.00653367 -5.94448e-05
279 -0.00383968 -0.00803279 -5.38505e-05
280 -0.00408924 -0.00966977 -4.59506e-05
281 -0.0042929 -0.0114177 -3.59147e-05
282 -0.00445537 -0.0132523 -2.18494e-05
283 -0.00458254 -0.0151594 -5.67786e-06
284 -0.00470976 -0.0171118 1.53379e-05
285 -0.0028135 -0.00402752 -0.000103339
286 -0.00319533 -0.00516143 -9.9873e-05
287 -0.00354111 -0.00649514 -9.28873e-05
288 -0.00384042 -0.00799805 -8.3066e-05
289 -0.00409051 -0.00964015 -7.07014e-05
290 -0.00429455 -0.0113947 -5.48752e-05
291 -0.0044564 -0.0132354 -3.71425e-05
292 -0.00459423 -0.0151525 -5.42628e-06
293 -0.00472215 -0.0171269 2.67044e-05
294 3.84447e-05 -0.002943 -5.20706e-05
295 3.23485e-05 -0.00297047 -2.94465e-05
296 2.94463e-05 -0.0029852 -1.34144e-05
297 2.87106e-05 -0.00298995 3.12346e-17
298 2.94463e-05 -0.0029852 1.34144e-05
299 3.23485e-05 -0.00297047 2.94465e-05
300 3.84447e-05 -0.002943 5.20706e-05
301 -0.000765211 -0.00301639 -2.10548e-07
302 -0.000770891 -0.00304486 9.31899e-07
303 -0.000773857 -0.0030611 8.67402e-07
304 -0.000774824 -0.00306618 6.60608e-17
305 -0.000773857 -0.0030611 -8.67402e-07
306 -0.000770891 -0.00304486 -9.31899e-07
307 -0.000765211 -0.00301639 2.10548e-07
308 -0.00159552 -0.00306024 5.59955e-05
309 -0.0016002 -0.00309459 3.41726e-05
310 -0.00160337 -0.00311198 1.66956e-05
311 -0.00160447 -0.00311732 1.04362e-16
312 -0.00160337 -0.00311198 -1.66956e-05
313 -0.0016002 -0.00309459 -3.41726e-05
314 -0.00159552 -0.00306024 -5.59955e-05
315 0.00107558 -0.0189991 -1.28459e-05
316 0.00107174 -0.0189984 -8.86419e-06
317 0.00106757 -0.0189946 -4.85043e-06
318 0.00106626 -0.018993 3.20043e-17
319 0.00106757 -0.0189946 4.85043e-06
320 0.00107174 -0.0189984 8.86419e-06
321 0.00107558 -0.0189991 1.28459e-05
322 -0.000780044 -0.0190532 -6.5791e-06
323 -0.000788882 -0.019041 -4.41879e-06
324 -0.000791082 -0.0190338 -4.04558e-06
325 -0.000792265 -0.0190332 1.09403e-16
326 -0.000791082 -0.0190338 4.04558e-06
327 -0.000788882 -0.019041 4.41879e-06
328 -0.000780044 -0.0190532 6.5791e-06
329 -0.00266073 -0.0192113 -2.79973e-06
330 -0.00266703 -0.0191624 -1.1963e-05
331 -0.00266716 -0.0191613 -3.37542e-06
332 -0.00266585 -0.0191583 1.85402e-16
333 -0.00266716 -0.0191613 3.37542e-06
334 -0.00266703 -0.0191624 1.1963e-05
335 -0.00266073 -0.0192113 2.79973e-06
336 0.000157506 -0.0038314 -0.000105889
337 0.000348601 -0.0050443 -8.80842e-05
338 0.000517297 -0.00640498 -7.80132e-05
339 0.000663557 -0.00792343 -6.63441e-05
340 0.00078785 -0.00957804 -5.46092e-05
341 0.000890389 -0.0113494 -4.2476e-05
342 0.000973209 -0.0132156 -3.17173e-05
343 0.00103387 -0.0151482 -2.25408e-05
344 0.00106757 -0.0170949 -1.59029e-05
345 -0.000795341 -0.0038711 -6.53324e-06
346 -0.000822589 -0.00503009 -1.04375e-05
347 -0.00082236 -0.00639072 -4.1944e-06
348 -0.000819771 -0.00790932 -1.72403e-06
349 -0.000817984 -0.00956633 -1.07584e-07
350 -0.000815305 -0.0113385 1.77578e-07
351 -0.000808287 -0.0132009 -2.58386e-08
352 -0.00078574 -0.0151419 -7.66719e-06
353 -0.000768713 -0.0171317 -1.23356e-05
354 -0.00179414 -0.00391835 8.19239e-05
355 -0.00198353 -0.00505906 7.72516e-05
356 -0.00215388 -0.00640471 7.04669e-05
357 -0.00229936 -0.00792073 6.34013e-05
358 -0.00242228 -0.00957578 5.38638e-05
359 -0.00252243 -0.0113434 4.29331e-05
360 -0.00259835 -0.0132042 2.85721e-05
361 -0.00265335 -0.0151248 1.5014e-05
362 -0.0026411 -0.0171885 -1.55902e-05
363 0.000157506 -0.0038314 0.000105889
364 0.000348601 -0.0050443 8.80842e-05
365 0.000517297 -0.00640498 7.80132e-05
366 0.000663557 -0.00792343 6.63441e-05
