Node          U1          U2          U3
89 -0.000667222 -0.0161834 -6.28349e-05
90 -0.00224326 -0.0163539 -7.35063e-05
91 0.000213663 -0.000102817 -0.000127812
92 0.000385054 -0.000195968 -0.000159574
93 0.000543043 -0.000344926 -0.000169456
94 0.000691746 -0.000542513 -0.00016183
95 0.000825396 -0.000786361 -0.000143886
96 0.000936273 -0.00106834 -0.000119306
97 0.00101537 -0.00137294 -9.26656e-05
98 0.00105745 -0.00167534 -6.96464e-05
99 0.00106813 -0.00194783 -5.56864e-05
100 0.00107216 -0.0021726 -4.86844e-05
101 0.0010729 -0.00217345 -4.27226e-05
102 0.00107331 -0.00218046 -2.52241e-05
103 0.00107358 -0.00218405 8.01725e-17
104 0.00107331 -0.00218046 2.52241e-05
105 0.0010729 -0.00217345 4.27226e-05
106 0.00107216 -0.0021726 4.86844e-05
107 0.00106813 -0.00194783 5.56864e-05
108 0.00105745 -0.00167534 6.96464e-05
109 0.00101537 -0.00137294 9.26656e-05
110 0.000936273 -0.00106834 0.000119306
111 0.000825396 -0.000786361 0.000143886
112 0.000691746 -0.000542513 0.00016183
113 0.000543043 -0.000344926 0.000169456
114 0.000385054 -0.000195968 0.000159574
115 0.000213663 -0.000102817 0.000127812
116 2.30969e-24 -8.72649e-25 2.66683e-25
117 2.35934e-24 -9.08928e-25 1.79631e-25
118 2.41981e-24 -9.35976e-25 8.11957e-26
119 2.43833e-24 -9.44159e-25 -1.60454e-38
120 2.41981e-24 -9.35976e-25 -8.11957e-26
121 2.35934e-24 -9.08928e-25 -1.79631e-25
122 2.30969e-24 -8.72649e-25 -2.66683e-25
123 -0.00173815 -0.00195888 0.00029756
124 -0.00146831 -0.00152113 0.000273495
125 -0.00124104 -0.0011811 0.000249366
126 -0.00104685 -0.000902587 0.000229492
127 -0.000872422 -0.000665996 0.000215047
128 -0.000707221 -0.000464907 0.000203945
129 -0.000544809 -0.000300283 0.000191625
130 -0.000382232 -0.000174201 0.000168876
131 -0.000210802 -9.56064e-05 0.000129325
132 -0.000210802 -9.56064e-05 -0.000129325
133 -0.000382232 -0.000174201 -0.000168876
134 -0.000544809 -0.000300283 -0.000191625
135 -0.000707221 -0.000464907 -0.000203945
136 -0.000872422 -0.000665996 -0.000215047
137 -0.00104685 -0.000902587 -0.000229492
138 -0.00124104 -0.0011811 -0.000249366
139 -0.00146831 -0.00152113 -0.000273495
140 -0.00173815 -0.00195888 -0.00029756
141 -2.24503e-24 -8.4389e-25 2.67301e-25
142 -2.28118e-24 -8.76367e-25 1.84991e-25
143 -2.33932e-24 -9.03499e-25 8.54798e-26
144 -2.35794e-24 -9.12005e-25 9.46767e-39
145 -2.33932e-24 -9.03499e-25 -8.54798e-26
146 -2.28118e-24 -8.76367e-25 -1.84991e-25
147 -2.24503e-24 -8.4389e-25 -2.67301e-25
148 1.87758e-24 -1.6847e-26 7.98725e-25
149 1.19129e-24 5.70827e-26 5.06651e-25
150 5.77364e-25 1.05325e-25 2.46853e-25
151 -2.30545e-26 1.25186e-25 -7.84264e-27
152 -6.2553e-25 1.21693e-25 -2.63612e-25
153 -1.23854e-24 7.9546e-26 -5.23754e-25
154 -1.89983e-24 -3.84081e-27 -8.07063e-25
